ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG
425,GUADIANA,ZUJAR,723.0,0
426,MIÑO - SIL,BARCENA,341.0,0
428,MIÑO - SIL,PIAS (SAN AGUSTIN),10.0,1
429,DUERO,ARLANZON,23.0,0
430,DUERO,CASTRO DE LAS COGOTAS,59.0,0
433,TAJO,EL ATANCE,35.0,0
434,TAJO,MOLINO DE CHINCHA,6.0,1
435,TAJO,PICADAS,15.0,0
436,TAJO,LA PORTINA,5.0,0
437,SEGURA,TAIBILLA,10.0,0
439,EBRO,LANUZA,17.0,0
440,EBRO,LLAUSET,17.0,1
441,EBRO,NAGORE,5.0,0
443,EBRO,MEQUINENZA,1534.0,1
444,CANTÁBRICO OCCIDENTAL,ALSA - MEDIAJO,33.0,1
445,CANTÁBRICO ORIENTAL,ANARBE,44.0,0
447,EBRO,YESA,470.0,0
448,EBRO,SISTEMA VALLE DE ARAN,23.0,1
449,CUENCAS INTERNAS DEL PAÍS VASCO,URKULU,10.0,0
451,CANTÁBRICO ORIENTAL,IBIUR,8.0,0
452,MIÑO - SIL,MONTEFURADO,11.0,1
453,DUERO,AGUEDA,24.0,0
455,DUERO,CERNADILLA,255.0,1
458,TAJO,AZUTAN,113.0,1
461,EBRO,ALBINA,6.0,0
462,EBRO,BUBAL,64.0,0
465,GALICIA COSTA,EUME,123.0,1
467,CUENCAS INTERNAS DE CATALUÑA,SANT PONS,25.0,0
468,EBRO,TERRADETS,33.0,1
471,GUADALQUIVIR,FRANCISCO ABELLAN,58.0,0
474,GUADALQUIVIR,LOS MELONARES,186.0,0
475,GUADALQUIVIR,RUMBLAR,140.0,0
476,GUADALQUIVIR,SAN RAFAEL DE NAVALLANA,157.0,0
478,CUENCA MEDITERRÁNEA ANDALUZA,CONDE GUADALHORCE,83.0,0
487,MIÑO - SIL,LAS CONCHAS,80.0,1
488,MIÑO - SIL,SEQUEIROS,11.0,1
489,DUERO,BARRIOS DE LUNA,308.0,0
490,DUERO,RABANOS,8.0,1
492,TAJO,PALMACES,31.0,0
493,TAJO,ROSARITO,93.0,0
495,TAJO,VALDECANAS,1446.0,1
497,SEGURA,CAMARILLAS,37.0,0
498,SEGURA,LA CIERVA,7.0,0
499,SEGURA,ARGOS,11.0,0
502,EBRO,NEGRO (LAGO),6.0,1
503,EBRO,SAN BARTOLOME,6.0,0
506,EBRO,SISTEMA ALTO CALDARES,18.0,1
508,EBRO,SOBRON,20.0,1
509,CANTÁBRICO OCCIDENTAL,ALFILORIOS,9.0,0
512,GUADALQUIVIR,MARTIN GONZALO,20.0,0
513,GUADALQUIVIR,EL PINTADO,215.0,0
514,GUADALQUIVIR,QUIEBRAJANO,33.0,0
518,GUADALQUIVIR,TRANCO DE BEAS,506.0,0
522,GUADIANA,VEGA DEL JABALON,34.0,0
523,TINTO. ODIEL Y PIEDRAS,CORUMBEL BAJO,19.0,0
524,TINTO. ODIEL Y PIEDRAS,LOS MACHOS,12.0,0
525,TINTO. ODIEL Y PIEDRAS,OLIVARGAS,29.0,0
528,DUERO,CASARES DE ARBAS,37.0,0
529,DUERO,SERONES,6.0,0
530,TAJO,ACENA,24.0,0
532,TAJO,BELENA,53.0,0
533,TAJO,EL CASTRO,8.0,0
534,TAJO,NAVAMUNO,14.0,0
536,TAJO,"VELLON,EL-(PEDREZUELA)",41.0,0
539,SEGURA,VALDEINFIERNO,14.0,0
540,JÚCAR,BENAGEBER,228.0,0
541,JÚCAR,BENIARRES,30.0,0
542,JÚCAR,EL NARANJERO,29.0,0
544,JÚCAR,LA MUELA,29.0,1
545,JÚCAR,LA TOBA,11.0,1
546,JÚCAR,SICHAR,49.0,0
547,JÚCAR,MARIA CRISTINA,20.0,0
548,EBRO,BRAMATUERO ALTO,5.0,1
549,EBRO,ESCALES,152.0,1
550,EBRO,ENCISO,46.0,1
551,EBRO,ITOIZ,417.0,0
552,GALICIA COSTA,FERVENZA,104.0,1
553,GALICIA COSTA,A RIBEIRA,33.0,1
554,CUENCAS INTERNAS DE CATALUÑA,SAU,169.0,0
555,GALICIA COSTA,RIOCOBO,6.0,0
